Site,Old_code,Cam_code,Week,Num,Order,Human,Wolverine,Marmot,Goat,Red_fox,Ground_squirrel,Unknown_mustelid,Deer_mouse,Pack_rat,All_non_human,Non_carnivore,Carnivore,Kestrel,Pipit,Raven,GCRF,Bluebird,Ptarmigan,Horned_lark,Unknown,Unknown_passerine,All_birds
C1,MORA5,MORA5,18-Jun,W1,a,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1,MORA5,MORA5,25-Jun,W2,b,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1,MORA5,MORA5,2-Jul,W3,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1,MORA5,MORA5,9-Jul,W4,d,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1,MORA5,MORA5,16-Jul,W5,e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
C1,MORA5,MORA5,23-Jul,W6,f,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1,MORA5,MORA5,30-Jul,W7,g,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1,MORA5,MORA5,6-Aug,W8,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1,MORA5,MORA5,13-Aug,W9,i,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1,MORA5,MORA5,20-Aug,W10,j,0,0,1,0,0,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0
C1,MORA5,MORA5,27-Aug,W11,k,0,0,2,0,0,1,0,1,0,4,4,0,0,1,0,0,0,1,0,0,0,2
C1,MORA5,MORA5,3-Sep,W12,l,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,2
C1,MORA5,MORA5,10-Sep,W13,m,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
C1,MORA5,MORA5,17-Sep,W14,n,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,0,0,3
C2,MORA1,MORA1,18-Jun,W1,a,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2,MORA1,MORA1,25-Jun,W2,b,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
C2,MORA1,MORA1,2-Jul,W3,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2,MORA1,MORA1,9-Jul,W4,d,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
C2,MORA1,MORA1,16-Jul,W5,e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
C2,MORA1,MORA1,23-Jul,W6,f,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2,MORA1,MORA1,30-Jul,W7,g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2,MORA1,MORA1,6-Aug,W8,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2,MORA1,MORA1,13-Aug,W9,i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2,MORA1,MORA1,20-Aug,W10,j,0,0,0,0,0,2,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0
C2,MORA1,MORA1,27-Aug,W11,k,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
C2,MORA1,MORA1,3-Sep,W12,l,0,0,0,0,0,2,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1
C2,MORA1,MORA1,10-Sep,W13,m,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
C2,MORA1,MORA1,17-Sep,W14,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3,MORA4,MORA4,18-Jun,W1,a,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3,MORA4,MORA4,25-Jun,W2,b,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3,MORA4,MORA4,2-Jul,W3,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3,MORA4,MORA4,9-Jul,W4,d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3,MORA4,MORA4,16-Jul,W5,e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3,MORA4,MORA4,23-Jul,W6,f,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3,MORA4,MORA4,30-Jul,W7,g,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3,MORA4,MORA4,6-Aug,W8,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3,MORA4,MORA4,13-Aug,W9,i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3,MORA4,MORA4,20-Aug,W10,j,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
